uuid,first_name,last_name,email_address,number_of_vists,time_spent,amount_spent,date_of_visits
e74a8b6d,Sierra,Jennifer,rebeccamccann@example.org,57,7.2,11.5,2014-04-06
46c062b5,Evelyn,Kara,jacqueline20@example.com,76,1.44,8.0,2014-09-21
29ce0b79,Sharon,Lorraine,jburke@example.org,1,7.76,14.002,2012-03-08
8051fc67,Richard,Mary,george91@example.org,52,4.16,44.0,2000-03-31
c103e914,Shannon,Breanna,dayala@example.net,34,6.48,30.0,1972-11-25
836827e6,Julia,Nathan,twilson@example.org,81,3.44,3.0,1994-02-20
e9645b5a,Crystal,Brian,sophiali@example.com,52,6.24,23.0,1979-06-25
7505cdc9,Garrett,Dennis,julie62@example.com,68,5.04,31.0,2001-11-03
71bd5e67,Diana,Michael,carolcarney@example.com,96,7.12,26.0,2019-03-16
8ae27214,William,Jon,robertortiz@example.org,3,3.2,10.0,2001-03-11
64c5305f,Ashley,Erin,robertsjose@example.net,74,4.8,21.5,1988-11-04
e93de230,Victor,Susan,xsolomon@example.net,81,6.64,40.5,1970-08-15
be8cb750,Jeffrey,Brittany,emiller@example.org,83,1.68,28.96,1980-10-09
4ad59db4,Larry,Misty,terri63@example.net,4,0.72,36.5,1994-05-06
609d3046,Kenneth,David,verickson@example.net,70,6.32,43.5,2004-01-26
5bc0c24b,April,John,charles80@example.org,31,3.76,27.0,2004-03-30
f18b4603,Michelle,Andrew,sarah75@example.net,69,0.24,1.5,1984-05-05
81dc764f,Helen,Emily,smithwilliam@example.com,64,5.52,8.5,1993-09-27
160d54ca,Erin,Peter,tiffany52@example.net,18,7.2,18.0,2018-01-22
1788437c,Michelle,Mary,carpenterjorge@example.net,38,0.4,19.0,2005-09-24
d3ad2fa4,Jason,Jeffrey,dconrad@example.org,99,3.52,29.5,1996-08-01
4623a1b0,Cameron,Anna,stewartalyssa@example.org,32,5.12,42.0,2004-11-29
7bc6b14a,Megan,James,darryl02@example.com,24,0.88,7.5,1974-04-10
b0dd8bf9,Elizabeth,James,julie64@example.com,32,5.04,42.0,1981-11-16
3f52b92e,Dustin,Mariah,zachary62@example.com,21,3.76,39.0,2014-08-20
ef3e9922,Mary,Michael,jgallagher@example.net,43,3.68,14.002,1980-04-21
69d1e926,Daniel,Caitlin,jbrown@example.org,46,3.12,47.0,1993-12-11
1c158f7a,Rebecca,Rebekah,isaacharrison@example.org,41,2.24,46.5,2014-08-21
6a15ce21,Jose,James,fgraham@example.org,4,5.04,42.0,2018-12-11
42632d66,Robert,Michael,tkelly@example.net,60,7.76,18.0,2008-04-28
9c75a632,Courtney,Bianca,hellis@example.net,90,3.12,44.0,1993-02-02
c44da0e8,David,Jason,daviddavis@example.com,87,7.52,22.5,2001-04-08
4de3c45c,Angel,Ernest,marybrady@example.com,61,0.48,33.5,2018-09-01
83d38677,Cheyenne,Patricia,brandybonilla@example.net,98,2.8,18.5,1979-07-13
3073c463,David,Vanessa,robertjones@example.com,26,0.4,38.5,1988-12-10
f3ad28de,Patricia,Joseph,clayanthony@example.net,5,0.48,1.5,2021-11-23
4f3df92c,Christopher,Matthew,longbrittany@example.org,36,3.6,29.5,2014-10-22
c0d64041,Amber,Michael,eric17@example.net,100,7.04,46.5,1990-08-13
9fe3eb34,Joyce,Kristin,rgibson@example.net,17,5.28,32.5,1996-10-22
f5185946,Victoria,Mason,riverabradley@example.net,10,2.48,33.5,1974-08-23
8f08fff9,Stephanie,Sarah,unguyen@example.net,45,6.0,34.5,2013-11-25
f1df5618,Kathy,John,jasonwilliams@example.net,93,2.56,9.5,2002-12-02
45a266f5,Stephanie,Amber,marcus01@example.net,7,7.6,32.0,1995-08-16
db4b25ff,David,Jennifer,qdavis@example.org,0,6.0,12.5,2002-02-07
222a0f1b,Pamela,Robert,tammyglenn@example.org,45,8.0,8.5,2011-03-25
76070195,Denise,Jillian,phelpsfrank@example.com,54,0.72,4.5,2014-11-04
209a09d5,Devon,Matthew,deborah21@example.com,49,2.88,41.0,1982-04-11
d9a124a9,Brenda,April,vowen@example.com,18,5.76,13.5,2009-03-14
b495b19b,Michelle,Lisa,michaeldavis@example.com,51,0.56,48.0,2018-03-19
3159d6cd,Joshua,Christine,tracymcclure@example.com,0,4.56,35.0,2004-07-02
bac133dc,Jason,Heidi,anna61@example.com,64,3.44,49.5,2014-11-03
b9e3cf4c,Melissa,Jesse,christina66@example.org,66,0.88,6.5,2005-10-03
396e7f01,Jamie,Kara,palmerteresa@example.net,72,4.4,31.0,1987-08-23
2993cdc0,Paul,Ashley,deborahreeves@example.com,40,7.36,28.46,1978-10-22
156aac98,Jennifer,Glenn,robertssamuel@example.com,19,4.48,34.0,2017-06-26
d84a30a3,Lindsey,Dorothy,edgar24@example.org,89,5.76,35.0,1992-01-20
bb43e00e,Jeffrey,Amber,dphillips@example.net,13,2.8,19.0,2010-01-26
547930f9,Michael,Mitchell,lowerywilliam@example.net,78,7.28,42.5,2009-07-08
28b7026e,John,Levi,dgutierrez@example.net,30,6.96,42.5,1993-09-08
fec643cf,Alyssa,Jenna,michael91@example.net,84,1.2,8.5,2009-10-10
98ee446f,Alyssa,Michelle,wilsondorothy@example.org,48,4.0,50.0,2012-01-08
f17358e0,Joel,Timothy,meganwilliams@example.com,25,2.08,43.5,1997-06-23
792bf6e4,Daniel,Patricia,lee77@example.net,38,3.6,35.5,1974-08-07
17a4564d,Jamie,Tina,matthew23@example.org,65,4.24,48.5,1973-01-21
ac4d67e5,Darlene,Mr.,burgesscassandra@example.net,57,5.04,31.5,1972-01-04
9f5fca2e,Joshua,Mr.,hamiltonandrew@example.com,13,7.12,40.0,2019-11-15
6e7281b1,Matthew,Monica,smithdiana@example.com,8,7.92,46.0,1980-10-31
40053e4d,Nicole,Kyle,vmelton@example.net,67,6.32,30.0,1985-10-08
ad22fe6d,Alex,Janice,nturner@example.com,12,2.96,6.5,1976-07-27
a9e57ef6,Michael,Pamela,fballard@example.org,69,0.88,21.0,2015-04-10
7e36f972,Michael,Tracy,alexanderrodriguez@example.org,30,1.04,12.0,1977-03-25
976d7a62,Lawrence,Jason,micheleclark@example.net,92,6.32,13.5,2003-12-27
647c274e,Robert,Elizabeth,debragraham@example.net,97,2.4,47.0,2016-03-24
e6cc1357,Alexander,Michelle,christophercarrillo@example.org,94,6.48,24.5,2002-06-03
d2e7a342,Tina,Christina,hhenderson@example.org,30,4.56,28.96,1992-01-10
6fc254da,Angela,Gregory,joannewallace@example.com,80,2.72,30.5,2021-09-17
49a29c34,Ashley,Miss,csmith@example.net,57,5.12,24.0,1985-10-03
31dfd872,Lindsay,Erica,jameshudson@example.com,0,2.56,16.0,2019-11-10
fc865ca1,Dr.,John,cookcurtis@example.net,39,2.16,23.0,1986-02-07
ac25e857,Jonathan,Jennifer,fpetty@example.net,73,7.44,36.5,1977-03-05
74f0436c,Samantha,Donna,benjamin67@example.net,52,5.68,5.0,1981-11-03
44b07adc,Madison,Kelly,dhall@example.net,65,2.64,42.0,2019-07-21
9cf21dea,Jessica,Michael,hendersonleslie@example.org,68,1.6,45.5,1996-02-20
b39c7998,Debra,Candace,patricia67@example.org,51,6.4,22.0,2021-06-07
5ce2da16,Karen,Ryan,pdean@example.com,85,6.72,1.5,1998-08-02
02eb57c4,Debra,Paul,bterry@example.org,3,2.88,7.001,1974-05-19
a0034fcd,Angelica,Ashley,jessica75@example.com,32,0.8,49.5,1974-03-20
986a1283,John,Sharon,williammatthews@example.net,48,7.28,12.5,2011-08-22
b0333e6f,Allen,Cynthia,sandra72@example.com,77,6.56,26.5,1987-01-17
267e87a4,Daniel,Donna,rmoyer@example.net,95,0.64,39.0,1977-10-16
d1b60320,Spencer,Jasmine,laura29@example.org,74,6.8,19.5,1972-07-19
6efc6570,Adam,Emily,hannah17@example.org,26,6.56,25.5,2021-01-12
4762698f,Nathan,David,jamesobrien@example.org,75,6.96,28.46,1974-12-17
b74ecc7a,Melissa,Sheila,fhahn@example.com,34,2.4,35.0,2000-01-18
8007ee96,Ricky,Michele,jasonwilliams@example.org,55,1.04,43.5,2021-12-12
fadcfed2,Elizabeth,Kimberly,nicole52@example.org,88,0.0,49.0,1995-06-22
8d43a3db,Joseph,Tracey,romanmatthew@example.org,7,2.48,29.5,2011-04-11
a3a43b12,Erin,Michael,davidwalker@example.com,71,6.64,38.5,2012-12-16
d89d547a,David,Jose,kristen08@example.com,33,1.92,37.5,1972-01-03
fd5e53a7,Bryan,Justin,melissarusso@example.net,78,7.36,33.5,1981-11-05
2b2994a8,Cathy,Dawn,mccarthysara@example.com,6,7.12,25.5,1991-11-09
23116ef1,Dr.,Brittney,westes@example.org,33,1.76,6.0,1977-04-29
ea940433,Brian,Anthony,harringtonchelsea@example.org,81,0.8,30.5,2017-07-19
2ddf4ffc,Christopher,Mary,romerogary@example.org,39,4.8,12.0,2000-08-03
7618fc0e,Denise,Heather,rhondamoore@example.com,35,1.44,16.0,1995-09-13
edf18c12,Melissa,Daniel,fgill@example.net,40,3.36,25.5,1979-01-25
00e4483e,Katherine,Jonathan,mooremichael@example.org,49,2.16,31.5,2013-05-17
7df495ab,Julie,Anna,allisonscott@example.com,63,7.2,23.0,2009-01-17
80781225,Anthony,Gary,sanchezlisa@example.com,36,6.72,44.5,2007-11-14
05b0588d,Rodney,Paul,william14@example.com,5,4.08,23.5,1983-08-05
c8dbfb49,Mark,Samantha,qward@example.org,7,1.6,42.5,1983-04-27
46098bf7,Justin,Jill,karenmoreno@example.org,88,3.12,43.5,1987-03-08
4851ec0d,Bailey,Lisa,lauriegutierrez@example.com,51,1.84,0.5,2003-06-03
aa6bb98a,Courtney,Erica,hcrane@example.net,51,1.12,48.5,1999-10-10
8496d0f8,Jeremy,Janice,sherry72@example.org,24,5.12,39.0,2016-03-12
7842405f,Elizabeth,Thomas,millerleroy@example.org,13,5.12,47.5,1989-06-20
6979e43d,Theresa,Robert,wbrown@example.org,67,6.88,43.5,1985-05-06
704a5148,Matthew,Steven,rachelbrown@example.net,66,0.48,14.002,1983-09-10
2c22af01,Benjamin,Tiffany,robert84@example.net,82,2.0,21.0,2020-07-03
43a9e91d,Kirk,Kimberly,regina04@example.net,51,4.08,34.0,1981-01-11
c70f1c97,Michael,Michael,isabellagriffin@example.org,55,4.16,8.5,1999-07-16
93f4eb56,Michael,Jessica,zterry@example.net,93,2.88,38.0,2005-12-19
4ba483af,Lori,Michele,trowe@example.org,9,0.56,37.0,1983-02-01
8efdf813,Jessica,Maria,medinapeter@example.net,93,4.32,18.5,1975-11-08
eacbcf43,Susan,Brittany,abigailfernandez@example.org,1,6.8,29.5,2009-08-12
d5f6fee8,Christopher,Brandon,huntlarry@example.com,7,1.2,42.5,1971-08-26
1e08a8ad,Laura,Kristin,andrewzamora@example.net,40,1.52,15.5,2012-10-23
755e9e5b,Michael,David,john46@example.net,5,0.0,23.5,2015-07-03
42d94bef,Kathryn,Jessica,dennismckenzie@example.com,68,0.96,48.5,1976-07-19
f7622443,Andrew,Kimberly,david17@example.com,51,7.92,7.5,1983-11-08
1e9c6218,David,Nicole,chaveztonya@example.net,10,4.88,11.5,1972-04-06
fb770628,Sara,Angel,michaelmitchell@example.net,40,6.72,41.0,1979-07-26
53a50322,Yvonne,Richard,jenniferstone@example.org,97,3.92,47.5,1970-05-11
f0526cd1,Andrew,Preston,murphybrandi@example.com,35,4.48,11.5,1994-06-20
687f6930,Matthew,Matthew,tgarcia@example.com,95,6.08,13.0,1997-10-07
a5895ded,Kevin,Brandy,dmiller@example.com,33,6.08,18.5,2008-09-03
681d17dd,Brandon,Kimberly,thomasgriffin@example.com,20,4.96,8.0,2007-03-13
7169e6e1,Shannon,Michael,hchapman@example.com,27,4.0,39.5,1974-11-24
01f1086c,Donna,Monica,breanna67@example.net,84,7.12,18.5,1993-03-09
5cffe179,Krista,Kristen,adennis@example.org,14,2.48,12.0,1982-08-11
20853c3d,Frank,Aaron,williamwashington@example.com,97,1.04,22.5,2016-06-08
d1bcae8d,Jose,Theresa,tammypalmer@example.net,73,5.76,3.5004,2019-09-04
d76ce194,Kimberly,Stephanie,bensonstanley@example.org,29,6.4,21.5,2019-07-24
35b7d549,Isaiah,Matthew,sherrywood@example.org,3,6.96,49.0,2013-09-14
1121bece,Olivia,Daniel,xrodriguez@example.net,51,6.96,49.0,2005-12-10
fc3437ec,Tanya,Christopher,billy21@example.com,49,6.24,9.5,2003-10-07
7244db73,Barbara,Sarah,vickie44@example.com,99,7.76,20.0,1982-12-09
3e52d6cb,Cynthia,Julia,moodydouglas@example.net,12,4.16,22.0,1984-02-13
2da7977f,Kristen,Brett,twilliams@example.com,5,0.4,49.0,2008-10-24
db787cfc,Susan,Mr.,isaacsingh@example.org,19,5.84,49.0,2002-03-28
1969192b,Kathleen,Manuel,kelleycarlos@example.org,42,2.88,37.5,2004-01-31
6f82d32a,Denise,Jerry,tolson@example.net,81,4.56,17.5,1993-12-17
103163a5,Mrs.,Kevin,ymccullough@example.com,12,7.76,45.0,1994-04-05
3e12cd44,Katie,Eugene,mdavenport@example.org,61,3.36,43.5,2012-02-02
806903d8,Desiree,David,williammurray@example.com,13,4.0,28.004,2008-01-08
14a5f367,Timothy,Jessica,uhernandez@example.com,55,4.0,11.0,1979-05-20
1c712a0e,Diane,Nicholas,marshelizabeth@example.com,100,6.24,26.0,1974-07-28
290bcf76,Yvonne,Ian,zhall@example.com,50,7.84,28.46,1999-11-13
1ef278db,Joshua,Casey,rubiopamela@example.net,76,6.4,8.0,1999-02-03
c33294cc,Kimberly,Shannon,debbie20@example.net,95,3.84,9.0,2012-07-25
fbd1a4a2,Colin,Deborah,ann18@example.org,71,5.12,0.5,1995-08-06
6656ac4f,Cynthia,Bernard,stephanieweaver@example.org,83,4.24,24.0,1974-10-28
1ddebc55,Patrick,Amanda,karenshaw@example.org,43,6.32,3.0,2008-09-24
e40cfb06,Jasmin,Kevin,barrettamanda@example.org,43,6.48,9.0,1975-04-27
3984c05e,Veronica,Kimberly,kristin39@example.com,88,1.04,33.0,1978-08-28
8ce7bf2c,Jonathan,Reginald,romancatherine@example.com,73,4.32,37.0,2005-03-14
961aad37,Shelly,Raymond,henrysarah@example.com,60,1.44,19.0,1990-04-18
e386e6c0,Joyce,John,bwhite@example.net,88,6.72,40.5,1976-11-13
3518ef3e,Matthew,Jonathan,patrick11@example.org,66,7.36,43.0,1978-01-10
67b67b31,Wayne,Renee,justinwhite@example.org,73,6.48,11.0,2003-12-09
876afd79,Marie,Jose,kristopherrussell@example.org,94,1.92,2.0,1985-09-09
2b48b366,Shannon,Travis,mendezmark@example.org,36,0.32,10.5,1973-07-03
152d48e4,Nathan,Nancy,evanscorey@example.org,72,6.8,13.0,2010-12-07
5dd68f2f,Amanda,Daniel,qorozco@example.com,78,1.04,4.0,2006-10-14
cc8f183a,Tammie,Jacob,williamsjohn@example.net,79,6.0,32.5,1992-07-09
5a247f09,Jessica,Terry,trevorgoodwin@example.com,72,6.48,14.48,1971-07-15
8ec24992,Shelia,Jesse,adamslucas@example.net,72,7.6,26.5,1985-03-31
f34d5b59,Stephanie,Mrs.,bjones@example.com,76,7.12,30.0,1989-09-23
2539014f,Elaine,Sandy,robinsmith@example.net,89,1.84,33.5,1987-02-09
893d3520,Joseph,Carrie,sanchezangela@example.org,15,7.2,3.5004,1996-07-27
26a4dd3c,Carolyn,Matthew,ashley71@example.net,7,1.12,15.0,2017-11-09
0566cf36,Lisa,Jamie,kristathomas@example.net,56,6.56,12.0,1994-05-10
830a872a,Briana,Heather,kimberlymedina@example.com,9,1.2,19.5,1974-08-16
73d15091,David,Mr.,dwilliams@example.net,47,5.28,2.0,1980-09-28
065718f3,Stephanie,Christopher,denise20@example.org,15,0.8,38.5,1989-08-08
1be1ad26,Jeremy,Christine,qnelson@example.net,52,4.88,48.0,1975-02-02
90653e73,Margaret,Mitchell,okidd@example.org,95,1.2,43.0,2006-05-15
2682d82b,Ryan,Robert,brandon89@example.org,31,3.76,13.0,2009-02-25
7dfc7c41,John,Mr.,christopher12@example.net,33,5.36,43.0,1986-06-05
2bcf0cd3,Laura,Alison,natalie39@example.net,11,3.6,1.5,2005-03-26
707bd4c7,William,Candace,nicole54@example.net,38,2.88,46.0,2011-08-06
fda9ff01,Keith,Kenneth,qnelson@example.com,85,1.12,24.0,2004-01-11
bac717f7,Amber,Christopher,jason95@example.org,15,0.56,20.5,1991-04-01
52cc7006,Tanner,Kristy,deborahsmith@example.com,96,2.88,21.0,1997-03-02
44e0365f,Heather,Mary,valenzuelaemily@example.com,22,2.88,35.0,2012-02-06
02970bb6,Megan,Jerry,ifarmer@example.org,62,2.64,8.5,1973-11-08
fb0bb0b6,Sara,Carolyn,ryanpatricia@example.net,60,7.04,27.504,2007-02-25
b59b355b,Maria,Rebecca,wchambers@example.com,61,6.32,27.504,2017-06-19
71d3635b,Kevin,Matthew,paul01@example.com,77,7.12,10.5,1977-07-18
c2403653,Edward,Grace,sharon70@example.org,58,5.92,6.0,2009-08-28
4a20260c,Carlos,Crystal,changerin@example.net,52,3.12,38.0,2002-01-19
ed817029,Kiara,Dale,james94@example.net,2,1.68,2.0,1987-11-26
0723f71f,Dawn,Jennifer,jimsnyder@example.com,5,4.4,31.5,2014-06-15
9b7ea681,Dr.,John,campbellrebecca@example.net,24,5.36,11.0,1972-01-16
109898ac,Victor,Richard,adrianjoyce@example.net,18,0.0,40.0,1972-03-13
c4e91308,Shannon,John,rrodriguez@example.net,95,5.6,4.0,1993-01-02
87b03313,Tracy,Samantha,mjackson@example.net,81,4.48,16.5,1998-09-05
d83adcca,Richard,Marie,cameronanderson@example.org,71,1.44,12.0,1987-10-03
dfededa6,Jordan,Andrew,jordanhudson@example.org,45,7.2,27.504,1983-08-24
e7f08a0c,Lauren,Robert,james08@example.net,90,4.4,20.0,1992-10-07
da377141,Ashley,Kevin,erin70@example.com,79,2.88,32.0,2022-01-15
45b48afc,Stephen,Melissa,nashmarcus@example.com,76,1.36,18.5,1974-01-16
9beb15eb,Connie,John,david87@example.com,67,0.4,40.5,1979-06-25
cb7bf595,Susan,Diane,zachary03@example.org,82,7.2,48.0,1983-11-25
5f2e160e,Charles,Colin,samantha87@example.com,6,0.4,33.0,2007-03-25
4e1bb7f8,Johnathan,Laura,myersmatthew@example.net,90,5.12,26.0,2019-12-10
a9c64c06,Brandy,Matthew,mooneyjeremiah@example.net,7,1.28,28.96,1992-06-06
804e262b,Natalie,Jack,prosario@example.org,38,3.12,33.5,2021-07-15
0cd6e6cb,Patrick,Dawn,markbrown@example.net,50,3.52,48.5,2015-02-21
25067862,Brett,Jacob,johnsonryan@example.org,68,6.0,7.001,1974-03-30
e4e74d51,Trevor,Nicole,mary31@example.com,19,0.08,21.0,1986-01-13
